qc_job_name|qc_co_name|qc_job_loc|qc_job_pay|qc_job_date|qc_job_desc|qc_co_type|qc_co_ee_size|qc_co_tags|qc_co_desc|qc_co_address
海外联络专员|北京捷旅通酒店信息咨询有限公司|北京|3-4.5千/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
招聘海外网络推广专员（出国劳务）|合肥鑫蓝图网络推广有限公司|合肥-瑶海区|6-8千/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
货代海外销售与客服|宁波逸浪国际货运代理有限公司|宁波-海曙区|3-4.5千/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
Amazon海外销售 亚马逊外贸销售 B2C Amazon Sales|深圳市凌云胜达科技有限公司|深圳-龙岗区|4.5-7.5千/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
销售/业务员（优秀者可派遣海外企业工作）|广州凝康投资咨询有限公司|广州-天河区|3-5千/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外技术支持工程师|北京友通上昊科技有限公司|北京-大兴区|1-1.5万/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外会议销售|上海英致商务咨询有限公司|上海-黄浦区|4.5-6千/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外留学实习岗|广州诺福克信息科技有限公司|广州-天河区|1-1.5万/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外市场推广专员（出国机会+高薪+双休）|青岛市百兰达进出口有限公司|青岛|1-1.5万/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
美国Rainbow无责任高底薪+高提成+专业培训+海外旅|福建朗博家居科技有限公司|福州|0.8-1万/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
