job_nm|month_pay|job_loc|co_id|co_nm|co_ownership|co_ee_size|co_link|co_industry|co_add|co_desc
版测试工程师-北京-00115|10001-15000|北京|CC162228528|北京多格科技有限公司|['其它']|['20-99人']|[]|['北京市海淀区知春路锦秋国际大厦B座']|[]|[<Element div at 0x1076a85e8>]
产品经理-北京-00107|10000-15000|北京|CC162228528|北京多格科技有限公司|['其它']|['20-99人']|[]|['北京市海淀区知春路锦秋国际大厦B座']|[]|[<Element div at 0x10767d458>]
渠道推广-北京-00116|7000-13000|北京|CC162228528|北京多格科技有限公司|['其它']|['20-99人']|[]|['北京市海淀区知春路锦秋国际大厦B座']|[]|[<Element div at 0x1076a8db8>]
社区运营-北京-00104|6001-8000|北京|CC162228528|北京多格科技有限公司|['其它']|['20-99人']|[]|['北京市海淀区知春路锦秋国际大厦B座']|[]|[<Element div at 0x106a13a98>]
技术支持（,）|4000-8000|北京-顺义区|CC120660521|北京北广科技股份有限公司|['国企']|['500-999人']|['http://www.bbef-tech.com/']|['通信/电信运营、增值服务,通信/电信/网络设备']|['北京市顺义区天竺空港开发区天柱路26号']|[<Element div at 0x1076a8db8>]
项目经理|15000-20000|北京|CC311571481|北京神州天瞰科技有限公司|['民营']|['20-99人']|[]|['北京市朝阳区朝阳北路金泰国益大厦905（地铁6号线青年路B口既到）']|[]|[<Element div at 0x1076a8ea8>]
（IT 通信方向）,销售经理|15000-20000|北京|CC311571481|北京神州天瞰科技有限公司|['民营']|['20-99人']|[]|['北京市朝阳区朝阳北路金泰国益大厦905（地铁6号线青年路B口既到）']|[]|[<Element div at 0x107678c28>]
销售经理|15001-20000|北京|CC311571481|北京神州天瞰科技有限公司|['民营']|['20-99人']|[]|['北京市朝阳区朝阳北路金泰国益大厦905（地铁6号线青年路B口既到）']|[]|[<Element div at 0x107678e08>]
项目经理|15000-20000|北京|CC311571481|北京神州天瞰科技有限公司|['民营']|['20-99人']|[]|['北京市朝阳区朝阳北路金泰国益大厦905（地铁6号线青年路B口既到）']|[]|[<Element div at 0x107678e08>]
会计|6001-8000|北京|CC120103904|房天下|['合资']|['10000人以上']|['http://fang.com/']|['互联网/电子商务,房地产/建筑/建材/工程']|['北京市丰台区郭公庄中街20号院A座']|[<Element div at 0x107678ef8>]
手游Facebook市场投放高级专员/经理|13000-20000|北京|CC677618624|北京趣加科技有限公司|['民营']|['100-499人']|['http://campus.funplus.com']|['网络游戏,互联网/电子商务']|['北京市海淀区科学院南路2号融科资讯中心']|[<Element div at 0x107678db8>]
市场经理|20001-30000|北京|CC120399720|北京超思电子技术有限责任公司|['民营']|['500-999人']|['http://www.choicemmed.com']|['电子技术/半导体/集成电路,医疗设备/器械']|['北京市']|[<Element div at 0x107678ea8>]
房产高端置业顾问|8001-10000|北京|CC463348881|瑞安伟业(北京)置业咨询有限公司|['外商独资']|['20-99人']|[]|['北京市朝阳区光华路7号汉威大厦西区3B15']|[]|[<Element div at 0x107678d68>]
高级,房产置业顾问（加拿大））|6001-8000|北京|CC463348881|瑞安伟业(北京)置业咨询有限公司|['外商独资']|['20-99人']|[]|['北京市朝阳区光华路7号汉威大厦西区3B15']|[]|[<Element div at 0x107678ea8>]
房产置业顾问|6001-8000|北京|CC463348881|瑞安伟业(北京)置业咨询有限公司|['外商独资']|['20-99人']|[]|['北京市朝阳区光华路7号汉威大厦西区3B15']|[]|[<Element div at 0x107678ea8>]
土木工程师（项目管理）-|25000-35000|北京|CC390756980|中航凯迪恩机场工程有限公司|['股份制企业']|['100-499人']|[]|['北京市顺义区临空经济核心区融慧园31-1']|[]|[<Element div at 0x1076ce778>]
储备基金经理人（,留学生优先）|10001-15000|北京-朝阳区|CC278825134|中投国资基金管理(北京)有限公司|['股份制企业']|['100-499人']|['http://www.zhongtouguozi.com']|['基金/证券/期货/投资']|['北京市朝阳区建国路93号院万达广场A座2001、2009-11室']|[<Element div at 0x1076ce6d8>]
售前工程师-高级|8001-10000|北京|CC120129495|北京中软泰和科技有限公司|['国企']|['20-99人']|['http://']|['计算机软件,通信/电信/网络设备']|['北京市海淀区东北旺西路8号中关村软件园内软件广场C座云基地2层A203']|[<Element div at 0x1076cecc8>]
售前工程师-初中级|6001-8000|北京|CC120129495|北京中软泰和科技有限公司|['国企']|['20-99人']|['http://']|['计算机软件,通信/电信/网络设备']|['北京市海淀区东北旺西路8号中关村软件园内软件广场C座云基地2层A203']|[<Element div at 0x1076ceb88>]
BD（,市场）|10001-15000|北京-朝阳区|CC487311224|沃科合众科技(北京)股份有限公司|['民营']|['20-99人']|['http://www.walkhorizon.com']|['计算机硬件,计算机软件,IT服务(系统/数据/维护),电子技术/半导体/集成电路']|['北京市朝阳区将台路5号院首信大厦B1座121室']|[<Element div at 0x1076ced68>]
